 TIME                    	Hours                    	Tout                     	Qdotout                  	Pel                      	Tm                       	Tcell                    	Eta_PV                   	Eta_PV_net               	
 HOURS              	NAV                 	øC                  	NAV                 	NAV                 	NAV                 	øC                  	                    	NAV                 	
  +1.0600000000000000E+02	  +1.0600000000000000E+02	  +2.3102057225786710E+00	  +4.7919949176401872E+02	  +1.2160679411671430E+02	  +1.1551028612893355E+00	  +4.0523186518819516E+00	  +1.8380712532756091E-01	  +1.8661652770918036E-01	
  +1.0700000000000000E+02	  +1.0700000000000000E+02	  +1.1609465614376413E+01	  +3.3384693704245518E+02	  +1.1706965268310755E+02	  +1.0804732807188206E+01	  +1.2823154433805225E+01	  +1.7694929365645035E-01	  +1.7965387742129837E-01	
  +1.0800000000000000E+02	  +1.0800000000000000E+02	  +2.0908723696228332E+01	  +1.8849400688890736E+02	  +1.1253251289182860E+02	  +2.0454361848114168E+01	  +2.1593987040912882E+01	  +1.7009146446769741E-01	  +1.7269122965371567E-01	
  +1.0900000000000000E+02	  +1.0900000000000000E+02	  +3.0207983446635140E+01	  +4.3141422839019050E+01	  +1.0799537158651864E+02	  +3.0103991723317570E+01	  +3.0364822574823126E+01	  +1.6323363299050581E-01	  +1.6572857956271661E-01	
  +1.1000000000000000E+02	  +1.1000000000000000E+02	  +3.9507239499002281E+01	  -1.0221192828486244E+02	  +1.0345823363677509E+02	  +3.9753619749501141E+01	  +3.9135651622023133E+01	  +1.5637580658521022E-01	  +1.5876593462113506E-01	
  +1.1100000000000000E+02	  +1.1100000000000000E+02	  +1.5885091342404090E+00	  +3.2949999316114298E+02	  +5.8887242981751804E+01	  +7.9425456712020448E-01	  +2.7863947917945873E+00	  +1.7801464021085794E-01	  +1.8073550727842785E-01	
  +1.1200000000000000E+02	  +1.1200000000000000E+02	  +1.0883419753889688E+01	  +1.8324528111968482E+02	  +5.6703832716081756E+01	  +1.0441709876944845E+01	  +1.1549601540304486E+01	  +1.7141424642104519E-01	  +1.7403422968448298E-01	
  +1.1300000000000000E+02	  +1.1300000000000000E+02	  +2.0182679676697145E+01	  +3.7892732830379344E+01	  +5.4518521613296429E+01	  +2.0091339838348574E+01	  +2.0320437376621726E+01	  +1.6480810644890093E-01	  +1.6732711808060841E-01	
  +1.1400000000000000E+02	  +1.1400000000000000E+02	  +2.9481935523253782E+01	  -1.0746066098419774E+02	  +5.2333212292012327E+01	  +2.9740967761626891E+01	  +2.9091266062810700E+01	  +1.5820197186218962E-01	  +1.6062001194448058E-01	
  +1.1500000000000000E+02	  +1.1500000000000000E+02	  +3.8781194433960991E+01	  -2.5281341921061804E+02	  +5.0147901631559400E+01	  +3.9390597216980495E+01	  +3.7862100123808681E+01	  +1.5159583322720496E-01	  +1.5391290169820349E-01	
  +1.1600000000000000E+02	  +1.1600000000000000E+02	  +9.0515181140528067E-01	  +1.8775310084096665E+02	  +0.0000000000000000E+00	  +4.5257590570264034E-01	  +1.5877216181631399E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.1700000000000000E+02	  +1.1700000000000000E+02	  +1.0157375499415462E+01	  +3.2643958327581295E+01	  +0.0000000000000000E+00	  +1.0078687749707731E+01	  +1.0276051463901089E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.1800000000000000E+02	  +1.1800000000000000E+02	  +1.9456631547504099E+01	  -1.1270939368377842E+02	  +0.0000000000000000E+00	  +1.9728315773752051E+01	  +1.9046880503596196E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.1900000000000000E+02	  +1.1900000000000000E+02	  +2.8755890491621688E+01	  -2.5806214497997729E+02	  +0.0000000000000000E+00	  +2.9377945245810842E+01	  +2.7817714623199130E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.2000000000000000E+02	  +1.2000000000000000E+02	  +3.8055149998149261E+01	  -4.0341477961705112E+02	  +0.0000000000000000E+00	  +3.9027574999074631E+01	  +3.6588549729322203E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.2100000000000000E+02	  +1.2100000000000000E+02	  +4.5653881093599145E+00	  +9.4698564735126740E+02	  +3.0170988597421518E+02	  +2.2826940546799572E+00	  +8.0081211849778242E+00	  +1.8241226479698622E-01	  +1.8520034741508407E-01	
  +1.2200000000000000E+02	  +1.2200000000000000E+02	  +1.3739438485220285E+01	  +7.7566123401347897E+02	  +2.9054714918779990E+02	  +1.1869719242610142E+01	  +1.6559327670744839E+01	  +1.7566333082696484E-01	  +1.7834825927660017E-01	
  +1.2300000000000000E+02	  +1.2300000000000000E+02	  +2.2913489981671489E+01	  +6.0433705311670315E+02	  +2.7938440983546343E+02	  +2.1456744990835745E+01	  +2.5110536122133830E+01	  +1.6891439530560062E-01	  +1.7149616956306185E-01	
  +1.2400000000000000E+02	  +1.2400000000000000E+02	  +3.2087540039852506E+01	  +4.3301257388357743E+02	  +2.6822167377646809E+02	  +3.1043770019926253E+01	  +3.3661742050661303E+01	  +1.6216546177537366E-01	  +1.6464408187109439E-01	
  +1.2500000000000000E+02	  +1.2500000000000000E+02	  +4.1261591072188054E+01	  +2.6168829671659319E+02	  +2.5705893548686038E+02	  +4.0630795536094027E+01	  +4.2212949687947670E+01	  +1.5541652689652985E-01	  +1.5779199280989709E-01	
  +1.2600000000000000E+02	  +1.2600000000000000E+02	  +3.8487654398865181E+00	  +7.9833861750367703E+02	  +2.4298884318715309E+02	  +1.9243827199432590E+00	  +6.7510974569666997E+00	  +1.8363727568557520E-01	  +1.8644408199838050E-01	
  +1.2700000000000000E+02	  +1.2700000000000000E+02	  +1.3022816978388748E+01	  +6.2701444532942764E+02	  +2.3404731043469184E+02	  +1.1511408489194373E+01	  +1.5302305982117153E+01	  +1.7687976907095815E-01	  +1.7958329018660554E-01	
  +1.2800000000000000E+02	  +1.2800000000000000E+02	  +2.2196867036569543E+01	  +4.5568996609625589E+02	  +2.2510578039737808E+02	  +2.1098433518284772E+01	  +2.3853511910644240E+01	  +1.7012226450829662E-01	  +1.7272250045814921E-01	
  +1.2900000000000000E+02	  +1.2900000000000000E+02	  +3.1370918153322393E+01	  +2.8436570643971567E+02	  +2.1616424841847299E+02	  +3.0685459076661196E+01	  +3.2404719696006516E+01	  +1.6336475847828974E-01	  +1.6586170923991989E-01	
  +1.3000000000000000E+02	  +1.3000000000000000E+02	  +4.0544968418540314E+01	  +1.1304127015167437E+02	  +2.0722271800141985E+02	  +4.0272484209270161E+01	  +4.0955925987696247E+01	  +1.5660725362864256E-01	  +1.5900091922009149E-01	
  +1.3100000000000000E+02	  +1.3100000000000000E+02	  +3.1321441385251405E+00	  +6.4969187143972442E+02	  +1.8293442530195173E+02	  +1.5660720692625703E+00	  +5.4940761287530435E+00	  +1.8433537414545723E-01	  +1.8715285055311404E-01	
